ages,anxiety_scores,any_breakup,argument_with_family,argument_with_family_time,betw_11_20_hr_work,betw_2_5_hr_work,betw_5_11_hr_work,borrow_money,breakup_date,change_in_personal_health,change_in_personal_health_time,change_major,change_major_months,change_major_year,college_year,conflict_with_faculty,conflict_with_faculty_time,conflict_with_friend,conflict_with_friend_time,conflict_with_roommate,conflict_with_roommate_time,conflict_with_student,conflict_with_student_time,current_job_start_date,death_close_family,death_close_family_time,death_close_friend,death_close_friend_time,divorce,divorce_time,do_not_work,dropped_class,dropped_class_time,eat_healthy_diet,eat_less,emergency_living_place,enjoy_being_at_school,family_health_change,family_health_time,family_seeing_freq,financial_support_from_loans,financial_support_from_parents,financial_support_from_self,first_gen,gender,gpa_current,gpa_last_sem_end,gpa_last_sem_start,grt_11_hr_work,grt_20_hr_work,laid_off,laid_off_time,less_2hr_work,living_dorm_shared,living_dorm_single,living_greek_shared,living_greek_single,living_off_campus_shared,living_off_campus_single,living_w_parents,lose_housing,majors,member_of_academic_clubs,member_of_academic_clubs_time,member_of_oncampus_clubs,member_of_oncampus_clubs_time,member_of_performing_arts,member_of_performing_arts_time,member_of_religious_club,member_of_religious_club_time,member_of_sports,member_of_sports_time,money_for_needs,months,nationality,on_probation,on_probation_time,overwhelmed_at_school,participate_in_social_good,participate_in_social_good_time,permanent_home,phq_final_get_along_with_people,phq_scores,race,rec_drugs,received_c_grade,received_c_grade_time,record_ids,seeing_family_recent_date,self_esteem_scores,si_grt_6_months_ago,si_less_month_ago,si_not_application,si_within_3_months,si_within_6_months,sleep_weekendnights_hrs,sleep_weeknights_hrs,smoke,someone_to_talk_to,spiritual_wellbeing,started_dating_time,suicide_ideation,talk_to_family_freq,time_stamps,trying_to_be_healthy,weekly_academic_work_hrs,weekly_research_work
22.0,15.0,0.0,0.0,,0,0,0,1.0,,0.0,,1.0,4.0,2.0,4,0.0,,1.0,2019-05-01,0.0,,0.0,,2019-01-10,0.0,,0.0,,0.0,,0,1.0,2019-08-29,2.0,0.0,1.0,1.0,0.0,,4.0,1,0,0,1.0,1.0,2.86,2.07,3.02,0,1,0.0,,0,0,0,0,0,1,0,0,0.0,financial economics,0.0,,0.0,,0.0,,1.0,2019-09-01,0.0,,1.0,4.0,USA,0.0,,2.0,0.0,,3.0,2.0,14.0,3,0.0,1.0,2019-05-20,17,2019-08-28,13,0,0,0,0,0,3.0,3.0,0.0,1.0,3.0,,0.0,2.0,2019-09-30 18:11:34,3.0,1.0,0.0
20.0,6.0,0.0,1.0,2019-09-17,0,1,0,1.0,,0.0,,0.0,,,2,0.0,,0.0,,0.0,,0.0,,2019-08-28,0.0,,0.0,,0.0,,0,0.0,,2.0,0.0,1.0,1.0,0.0,,4.0,1,1,0,0.0,2.0,4.0,4.0,4.0,0,0,0.0,,0,1,0,0,0,0,0,0,0.0,microbiology,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,7.0,United States,0.0,,3.0,0.0,,3.0,1.0,15.0,1,0.0,0.0,,18,2019-08-25,11,1,0,0,0,0,6.0,1.0,0.0,1.0,2.0,,1.0,2.0,2019-10-01 13:14:21,2.0,4.0,0.0
18.0,10.0,1.0,0.0,,0,0,0,1.0,2019-06-15,0.0,,1.0,8.0,0.0,1,0.0,,1.0,2019-11-30,0.0,,0.0,,,1.0,2018-10-30,0.0,,0.0,,1,0.0,,3.0,0.0,1.0,3.0,0.0,,3.0,0,1,1,1.0,2.0,3.8,4.0,4.0,0,0,0.0,,0,1,0,0,0,0,0,0,0.0,undecided,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,1.0,American,0.0,,2.0,1.0,2019-08-17,2.0,2.0,9.0,1,0.0,0.0,,19,,23,0,0,0,0,0,1.0,4.0,0.0,1.0,3.0,,0.0,2.0,2019-10-01 13:48:04,2.0,3.0,0.0
23.0,12.0,1.0,0.0,,0,0,0,1.0,2019-09-11,0.0,,1.0,9.0,3.0,6,0.0,,0.0,,0.0,,0.0,,2019-07-08,0.0,,0.0,,0.0,,0,0.0,,0.0,0.0,1.0,4.0,0.0,,4.0,0,1,1,0.0,2.0,3.8,3.2,3.18,0,1,0.0,,0,0,0,0,0,1,0,0,0.0,higher education administration,1.0,2019-07-11,0.0,,0.0,,0.0,,0.0,,1.0,9.0,American,0.0,,1.0,1.0,2019-07-10,2.0,1.0,5.0,1,0.0,1.0,2018-05-10,20,2019-09-29,29,0,0,0,0,0,3.0,3.0,0.0,1.0,2.0,,0.0,1.0,2019-10-01 14:10:09,0.0,1.0,1.0
23.0,7.0,1.0,1.0,2019-08-01,0,0,0,1.0,2018-10-01,0.0,,1.0,0.0,1.0,7,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,1,1.0,2015-01-08,1.0,1.0,1.0,1.0,0.0,,4.0,1,0,0,0.0,1.0,3.0,2.9,2.7,0,0,0.0,,0,0,0,0,0,1,0,0,1.0,psychology,0.0,,0.0,,0.0,,0.0,,1.0,2014-09-03,0.0,3.0,,0.0,,2.0,0.0,,1.0,1.0,25.0,1,1.0,1.0,2019-06-01,21,2019-09-01,6,0,0,0,0,0,2.0,3.0,0.0,0.0,3.0,,0.0,3.0,2019-10-01 14:16:34,2.0,4.0,1.0
18.0,7.0,0.0,0.0,,0,0,0,,,0.0,,1.0,7.0,0.0,1,0.0,,0.0,,0.0,,0.0,,,1.0,,0.0,,1.0,,1,0.0,,1.0,,,4.0,0.0,,5.0,0,1,0,1.0,2.0,,,,0,0,0.0,,0,1,0,0,0,0,0,0,,computer science,0.0,,0.0,,1.0,2019-09-18,0.0,,0.0,,,6.0,China,0.0,,1.0,0.0,,1.0,4.0,0.0,3,0.0,0.0,,22,,23,0,0,0,0,0,2.0,4.0,0.0,1.0,,,0.0,2.0,2019-10-01 14:15:59,,,0.0
20.0,12.0,1.0,1.0,2019-08-23,1,0,0,1.0,2019-09-21,0.0,,0.0,,,2,0.0,,1.0,2019-09-27,0.0,,0.0,,2019-09-30,0.0,,0.0,,0.0,,1,0.0,,1.0,0.0,1.0,4.0,1.0,2019-04-08,5.0,0,1,1,0.0,2.0,,,,0,0,0.0,,0,0,1,0,0,0,0,0,0.0,computer science,1.0,2018-10-16,0.0,,0.0,,0.0,,0.0,,1.0,11.0,Bangladeshi,0.0,,3.0,1.0,2019-08-28,4.0,1.0,6.0,3,0.0,0.0,,23,2019-08-25,17,0,0,0,0,0,2.0,4.0,0.0,1.0,2.0,2017-01-31,0.0,2.0,2019-10-01 14:36:54,3.0,4.0,1.0
22.0,11.0,0.0,1.0,2019-06-15,0,0,0,1.0,,0.0,,1.0,9.0,3.0,4,0.0,,0.0,,1.0,2018-11-15,0.0,,,0.0,,0.0,,0.0,,1,0.0,,2.0,0.0,1.0,4.0,0.0,,4.0,1,0,1,1.0,2.0,3.68,2.7,3.68,0,0,0.0,,0,0,0,0,1,0,0,0,0.0,economics,0.0,,1.0,2019-09-01,0.0,,0.0,,1.0,2019-09-01,0.0,7.0,,0.0,,2.0,1.0,2019-09-01,3.0,1.0,6.0,1,1.0,1.0,2019-06-16,24,2019-08-23,18,0,0,0,0,0,3.0,1.0,0.0,1.0,2.0,,0.0,2.0,2019-10-01 15:47:15,3.0,3.0,1.0
19.0,15.0,1.0,0.0,,0,0,0,1.0,2019-03-01,0.0,,1.0,0.0,0.0,2,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,1,0.0,,2.0,0.0,1.0,4.0,0.0,,4.0,1,1,0,0.0,2.0,3.1,2.9,3.3,0,0,0.0,,0,0,1,0,0,0,0,0,0.0,music and bcs,0.0,,1.0,2019-01-09,1.0,2018-10-01,0.0,,0.0,,1.0,0.0,,0.0,,3.0,0.0,,3.0,2.0,15.0,3,1.0,1.0,2019-05-07,25,2019-08-24,14,0,0,0,0,0,3.0,1.0,0.0,1.0,2.0,2019-08-20,0.0,1.0,2019-10-01 16:24:42,3.0,4.0,0.0
20.0,9.0,0.0,0.0,,0,0,1,1.0,,0.0,,1.0,0.0,2.0,3,0.0,,0.0,,0.0,,0.0,,2019-08-18,0.0,,0.0,,0.0,,0,1.0,2019-09-25,1.0,0.0,1.0,4.0,0.0,,4.0,1,1,1,1.0,2.0,2.77,2.77,2.8,0,0,0.0,,0,1,0,0,0,0,0,0,0.0,mechanical engineering,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,6.0,American,0.0,,3.0,0.0,,2.0,1.0,9.0,3,0.0,1.0,2019-05-10,26,2019-08-18,11,0,0,0,0,0,4.0,4.0,0.0,1.0,2.0,,0.0,3.0,2019-10-01 17:09:10,2.0,2.0,0.0
