,Unnamed: 0,ratings,action,categories,dislikes,likes,durations,view_cnts,years,months,days,hours,minutes,weekdays,link,titles,source,query,datetime
2989,2989,5.0,Watched,['Music'],0.0,467.0,230.0,11436.0,2019,12,9,20,44,0,https://www.youtube.com/watch?v=bYZA9FPfs6M,,youtube,,2019-12-09 20:44:00
2988,2988,4.8847094,Watched,['Music'],449.0,15129.0,206.0,3342334.0,2019,12,9,20,48,0,https://www.youtube.com/watch?v=dqzHeEXIzQk,,youtube,,2019-12-09 20:48:00
2987,2987,4.8886557,Watched,['Music'],199.0,6950.0,270.0,1639057.0,2019,12,9,20,52,0,https://www.youtube.com/watch?v=N6J5TzSE_18,,youtube,,2019-12-09 20:52:00
2986,2986,4.9759989000000004,Watched,['People & Blogs'],256.0,42409.0,128.0,1063880.0,2019,12,9,20,57,0,https://www.youtube.com/watch?v=ahQzTLqIAoA,,youtube,,2019-12-09 20:57:00
2984,2984,4.8532696,Watched,['People & Blogs'],23.0,604.0,120.0,154918.0,2019,12,10,1,6,1,https://www.youtube.com/watch?v=-ZPZWZDlkaY,James Bond  - Live And Let Die - New Orleans Funeral Scene,youtube,,2019-12-10 01:06:00
2985,2985,,Searched,,,,,,2019,12,10,1,6,1,https://www.youtube.com/results?search_query=live+and+let+die+funeral+scene,,youtube,,2019-12-10 01:06:00
2983,2983,4.3219585,Watched,['Film & Animation'],67765.0,332004.0,145.0,13808681.0,2019,12,10,1,28,1,https://www.youtube.com/watch?v=KK8FHdFluOQ,Disney's Mulan | Official Trailer,youtube,,2019-12-10 01:28:00
2982,2982,,Searched,,,,,,2019,12,10,14,0,1,https://www.youtube.com/results?search_query=iu+bbibbi,,youtube,,2019-12-10 14:00:00
2981,2981,4.8890066,Watched,['Music'],49440.0,1732289.0,208.0,115116143.0,2019,12,10,14,0,1,https://www.youtube.com/watch?v=nM0xDI5R50E,,youtube,,2019-12-10 14:00:00
2980,2980,4.932476,Watched,['Music'],3748.0,218277.0,208.0,13839017.0,2019,12,10,14,9,1,https://www.youtube.com/watch?v=6AAKi1OLZzQ,EXO 엑소 '으르렁 (Growl)' MV (Chinese Ver.),youtube,,2019-12-10 14:09:00
2979,2979,4.9185176,Watched,['Music'],9219.0,443346.0,261.0,27422082.0,2019,12,10,14,13,1,https://www.youtube.com/watch?v=MjXHE2foamc,EXO-M 엑소엠 '上瘾(Overdose)' MV,youtube,,2019-12-10 14:13:00
6042,108,,Searched,[],,,,,2019,12,10,17,19,1,,,search,japanese parasol,2019-12-10 17:19:00
6041,107,,Searched,[],,,,,2019,12,10,17,19,1,,,search,how to pose for pictures with a parasol,2019-12-10 17:19:00
2978,2978,4.9409450999999995,Watched,['News & Politics'],278.0,18552.0,532.0,678969.0,2019,12,10,22,7,1,https://www.youtube.com/watch?v=OV-_CE6t05M,The Chinese React To Disney’s Mulan Trailer | ASIAN BOSS,youtube,,2019-12-10 22:07:00
2977,2977,4.980266599999999,Watched,['Music'],47.0,9480.0,276.0,524619.0,2019,12,11,9,55,2,https://www.youtube.com/watch?v=J8yquydd3Ao,IU (아이유) - 'LULLABY' (자장가) Lyrics [Color Coded_Han_Rom_Eng],youtube,,2019-12-11 09:55:00
2976,2976,4.9680057,Watched,['Entertainment'],3592.0,445488.0,315.0,11587254.0,2019,12,11,9,59,2,https://www.youtube.com/watch?v=R3Fwdnij49o,[MV] IU(아이유) _ above the time(시간의 바깥),youtube,,2019-12-11 09:59:00
6039,105,,Searched,[],,,,,2019,12,11,20,22,2,,,search,vsco,2019-12-11 20:22:00
6040,106,,Searched,[],,,,,2019,12,11,20,22,2,,,search,visco,2019-12-11 20:22:00
2975,2975,,Searched,,,,,,2019,12,11,21,21,2,https://www.youtube.com/results?search_query=asianboss+mulan,,youtube,,2019-12-11 21:21:00
